youtube_id,label
GcTww0NOCk0,hopscotch
zeIkGEHK46I,riding camel
-Fwy8NwefTk,shot put
YYgESo5eQD8,situp
_2IV3G98BQ0,stretching leg
38Ml6v4vPzY,playing clarinet
sDD0p8h88rI,dying hair
qf7VwE1OVws,playing clarinet
09AinCnKAE8,riding camel
oSLF9nm-FsA,hopscotch
qyTDZajMSqQ,baking cookies
v0_VzQhUrLI,writing
pRebkWHsHC0,writing
jUWEP_j9Zls,spraying
nGx0rZBQa84,wrapping present
EFuWFeI2g6U,ripping paper
_NjeT6R0_kg,playing kickball
I5Uv9aGiyOQ,situp
QpBihhfoqiA,baking cookies
O8pbfj5KkaI,playing clarinet
PGlZ0z3DEHg,baking cookies
yYCLK5m4hYw,writing
5Nt1nOaTJ_4,balloon blowing
vDrA6LEFvUQ,shot put
jNZq06PrwTM,dying hair
yyqAsAnfK3s,baking cookies
LJk_ABR3-m4,shot put
LJUeH2YMWN8,hopscotch
C4Sv9AIOzCI,dying hair
YgYJGayETlI,stretching leg
I7ZNgqUKjZ0,playing ice hockey
nHC09bqk9u0,golf driving
LKzoGC1npcw,baking cookies
BLHhmBU-Tts,shot put
h8AGcIHRsoc,playing clarinet
VQktsZY4Y-Y,balloon blowing
8vmr4mHxmks,shot put
Wi2peDBEJ-I,fixing hair
jL8YJE_U19g,flipping pancake
8fSF6jCy7Qk,spraying
ZEB0X4ojJbI,playing ice hockey
QF0u6V3l5HI,balloon blowing
WxT0lvdXWms,golf driving
rIFZmnb-VsY,texting
dwCRDTaKZ8Y,cooking chicken
S7UXJIM8QpU,baking cookies
xpx6ccaYIE4,baking cookies
OiwxcoT2Xog,wrapping present
fci8rGISpEA,texting
EFVkN6zUta0,playing clarinet
MGpIlEFl96Q,cooking chicken
gCtibUWTcYo,fixing hair
GA_lGcMD8Tk,golf driving
ASMBCSQakUg,hopscotch
uI2ANreTjsY,cooking chicken
yTWTgkRBGhM,playing clarinet
X_wD9X_eF14,ripping paper
YkBH--lw1ww,hopscotch
qsZ5OlG9GwA,playing clarinet
Csj1UUFQ30I,flipping pancake
bUPLq6grnjM,playing ice hockey
hhtLeprzZ3w,cooking chicken
ozUoLCvr4-w,riding camel
8psqhKdY0VU,situp
SX7xEsx7KPA,cooking chicken
zEQfwUvHdLI,hopscotch
S8vir_sXw4Y,writing
1Qc3_Jzs3tA,shot put
H9yPB3rWiFE,situp
LXFY4GoTlQI,situp
Q_Cs0TX-ycY,stretching leg
4YK9k1RSCzY,hopscotch
DfbmfYSk1QA,shot put
F6ZWneKIJAM,golf driving
vXppH8bPvTQ,writing
-Jr4hagX4fY,writing
f6TtNYlYOqQ,balloon blowing
SWbggJOa7_o,situp
rn3XUfC5WCY,writing
kE9ZH4CEKzc,flipping pancake
PJDzpIqCLdw,dying hair
Wg86ercBjY0,playing clarinet
TYmdsdukKgE,hopscotch
FU1RIgcJ_5A,riding camel
XpQ2XLBOj_k,wrapping present
2rlWNAR4i20,dying hair
XWsoFOD75xM,golf driving
lVtvs_eDkwU,situp
GF2sebyC-F0,playing clarinet
